time,l,iteration
2019-11-26 16:57:21.500,0,0
2019-11-26 16:54:50.240,1,0
2019-11-26 16:54:29.240,1,0
2019-11-26 16:53:14.240,0,0
2019-11-26 16:55:04.000,1,0
2019-11-26 16:52:50.500,1,0
2019-11-26 16:55:05.000,1,0
2019-11-26 16:51:09.500,1,0
2019-11-26 16:51:28.740,1,0
2019-11-26 16:55:09.500,1,0
2019-11-26 16:53:27.000,1,0
2019-11-26 16:56:33.240,0,0
2019-11-26 16:54:39.740,1,0
2019-11-26 16:51:54.500,1,0
2019-11-26 16:52:10.500,1,0
2019-11-26 16:56:58.000,0,0
2019-11-26 16:53:30.000,1,0
2019-11-26 16:57:04.740,1,0
2019-11-26 16:54:20.000,1,0
2019-11-26 16:53:04.240,1,0
2019-11-26 16:53:01.500,1,0
2019-11-26 16:57:10.240,1,0
2019-11-26 16:54:46.740,1,0
2019-11-26 16:51:17.240,1,0
2019-11-26 16:57:04.240,1,0
2019-11-26 16:51:23.740,1,0
2019-11-26 16:53:00.500,1,0
2019-11-26 16:56:33.000,0,0
2019-11-26 16:52:13.740,1,0
2019-11-26 16:54:53.240,1,0
2019-11-26 16:56:51.000,1,0
2019-11-26 16:57:17.000,1,0
2019-11-26 16:56:23.500,0,0
2019-11-26 16:56:14.240,1,0
2019-11-26 16:57:14.240,1,0
2019-11-26 16:56:36.740,1,0
2019-11-26 16:53:21.000,1,0
2019-11-26 16:52:20.000,1,0
2019-11-26 16:56:08.500,1,0
2019-11-26 16:51:13.000,1,0
2019-11-26 16:57:06.240,1,0
2019-11-26 16:55:14.240,1,0
2019-11-26 16:54:17.240,1,0
2019-11-26 16:56:58.240,0,0
2019-11-26 16:53:06.500,1,0
2019-11-26 16:53:21.740,1,0
2019-11-26 16:53:20.000,1,0
2019-11-26 16:54:46.500,1,0
2019-11-26 16:54:48.240,1,0
2019-11-26 16:57:02.240,0,0
2019-11-26 16:56:15.000,1,0
2019-11-26 16:51:37.500,1,0
2019-11-26 16:52:49.240,1,0
2019-11-26 16:54:30.000,1,0
